個股代號／公司名字,時富雷達 (CR),基本分析比重,技術分析比重,基本分析分數,技術分析分數,相對強弱指數 RSI（9天）,波幅指數 Volatility（10天）,平均線 SMA（10天）,銷售額增長标准分数,債務股本比例标准分数,淨收入改善标准分数,資本回報标准分数,保留盈餘增長标准分数,TA4,TA5,移動平均線标准分数,相對強弱指數标准分数,布林线指标标准分数
2318 HK/ 中國平安,8.29,48.8%,51.2%,4.03,8.94,39.7569,36.238,,0.2373918139,-1.714840998,-0.5252695636,-1.751842391,-1.105250709,,,,10,7.885143296
2319 HK/ 蒙牛乳業,#VALUE!,69.2%,30.8%,#VALUE!,9.29,36.1098,27.504,,#VALUE!,1.666094247,2.88680369,#VALUE!,-0.5968967282,,,,10,8.577576931
2331 HK/ 李寧,7.43,72.7%,27.3%,4.76,9.16,34.8927,25.983,,-0.8368796987,-0.1822043971,1.39380302,0.7688217193,-2.345944074,,,,10,8.314745973
2382 HK/ 舜宇光學科技,8.26,43.7%,56.3%,2.66,9.51,35.3667,38.431,,-0.6693529898,-1.420238048,-1.445419767,-3.166124636,-5,,,,10,9.029930351
2388 HK/ 中銀香港,7.98,75.0%,25.0%,5.09,9.96,31.8365,23.714,,2.704281222,-0.4678745403,0.1499518339,-1.26677318,-0.6707810953,,,,10,9.911455451
241 HK/ 阿里健康,6.93,40.0%,60.0%,4.36,6.60,46.3097,49.972,,-2.161651578,-0.6995698778,0.7528139642,0.6328623169,-1.72283728,,,,6.84515,6.351981352
2618 HK/ 京東物流,#DIV/0!,40.0%,60.0%,#DIV/0!,8.99,37.9452,64.896,,-2.396709752,-5,0.6034174535,#DIV/0!,-1.031966051,,,,10,7.973684211
2628 HK/ 中國人壽,8.67,47.0%,53.0%,4.92,8.67,41.5608,36.987,,0.9159396672,0.168558561,-0.07597637272,-0.8986343695,-0.5293271447,,,,9.2196,8.128834356
267 HK/ 中信股份,3.99,55.3%,44.7%,5.10,4.15,52.0299,33.451,,0.9262532971,-3.912521912,1.352612684,0.9536711518,1.165962169,,,,3.98505,4.318181818
2688 HK/ 新奧能源控股有限公司,9.23,40.0%,60.0%,4.53,9.81,29.8072,42.35,,0.1652711997,-1.077806883,-1.114456458,0.006318674156,-0.3515756304,,,,10,9.629533139
27 HK/ 銀河娛樂,#DIV/0!,43.2%,56.8%,#DIV/0!,9.23,40.4468,38.612,,-0.7098160772,0.5852696557,-0.7984515393,-1.0423594,#DIV/0!,,,,9.7766,8.675690021
288 HK/ 萬洲國際,8.07,61.9%,38.1%,5.19,8.29,42.2888,30.595,,-0.9162266836,1.347977097,1.036022447,-0.4142411975,-0.08387589384,,,,8.8556,7.723577236
291 HK/ 華潤啤酒,2.58,40.0%,60.0%,5.85,2.84,54.7153,42.175,,1.634179593,-0.1563789443,1.473326157,0.9651940288,0.3378542363,,,,2.64235,3.045032166
3 HK/ 香港中華煤氣,6.90,75.0%,25.0%,4.69,8.68,37.8231,14.88,,-0.4163402585,3.02522433,-0.8459680809,-2.08716129,-1.224353972,,,,10,7.362831858
316 HK/ 東方海外國際,3.77,40.0%,60.0%,5.91,3.71,52.4597,67.816,,-0.1972662996,-2.11100927,1.918649803,2.608643436,2.349444695,,,,3.77015,3.654639175
322 HK/ 康師傅控股,#DIV/0!,75.0%,25.0%,#DIV/0!,0.00,71.1644,23.694,,-0.79056311,4.223712873,-1.871952079,-0.8110544898,#DIV/0!,,,,0,0
3328 HK/ 交通銀行,3.73,75.0%,25.0%,4.76,4.03,51.8901,22.968,,0.1194539302,-1.363641775,-0.1369344336,1.426533963,-1.258124012,,,,4.05495,4.00862069
3690 HK/ 美團－Ｗ,9.11,52.8%,47.2%,5.73,9.45,28.4125,34.514,,0.2379453509,2.015227569,0.6388859048,1.414856741,-0.6494655039,,,,10,8.892609874
3692 HK/ 翰森制藥,8.41,50.6%,49.4%,4.91,8.43,40.9534,35.467,,-1.796488361,2.057669385,0.5132305909,-0.874408648,-0.3362372626,,,,9.5233,7.329873126
386 HK/ 中國石油化工股份,0.87,40.0%,60.0%,5.28,0.59,66.8433,49.866,,0.2966309983,1.316406241,0.3312538381,0.2193122065,-0.748196218,,,,0,1.188318228
388 HK/ 香港交易所,2.16,64.5%,35.5%,3.59,4.16,51.6895,29.487,,-1.118582058,-0.5295958623,-3.161979135,-1.048152666,-1.198381773,,,,4.15525,4.160082568
3968 HK/ 招商銀行,9.15,40.0%,60.0%,5.52,8.90,39.3245,42.623,,0.321866789,-3.026086516,1.988725692,3.65586618,-0.3412718503,,,,10,7.802359882
3988 HK/ 中國銀行,2.47,75.0%,25.0%,4.52,2.38,55.5589,19.589,,0.05186266098,-0.7262644632,0.6160787717,-0.950464409,-1.400036643,,,,2.22055,2.537313433
5 HK/ 匯豐控股,9.42,44.8%,55.2%,6.14,9.72,37.5483,37.93,,1.106804037,0.4597110791,1.376541034,1.054165783,1.726310236,,,,10,9.447616109
6 HK/ 電能實業,1.36,75.0%,25.0%,4.17,0.00,62.1822,13.679,,-0.8773118742,-1.683195433,-0.1978017524,-0.47055952,-0.9343670753,,,,0,0
6098 HK/ 碧桂園服務,9.15,40.0%,60.0%,4.51,9.58,29.6609,60.126,,-0.9928703374,3.491255288,-1.187132463,-1.426982748,-2.33234575,,,,10,9.151957022
6186 HK/ 中國飛鶴,8.74,40.0%,60.0%,3.38,9.40,33.8608,53.263,,-2.499047139,-0.9366897232,-0.8931042179,-2.834020135,-0.9488642687,,,,10,8.800959233
66 HK/ 港鐵公司,7.59,75.0%,25.0%,4.74,10.00,27.1094,15.948,,-0.8806295974,-0.6608407426,0.3262406871,0.3660306023,-0.4725479857,,,,10,10
6618 HK/ 京東健康,8.51,40.0%,60.0%,5.65,7.47,44.4266,56.239,,-0.951884178,0.9907430428,0.8129847558,1.405530857,0.9998462771,,,,7.7867,7.157542434
669 HK/ 創科實業,7.47,45.2%,54.8%,5.19,6.64,44.5752,37.757,,-0.7024835002,1.31900388,0.3880490219,-0.5203763974,0.4678749263,,,,7.7124,5.562396756
6690 HK/ 海爾智家,9.12,40.0%,60.0%,5.04,9.16,36.2191,40.534,,0.04421581294,-1.921163499,1.630977486,1.816035603,-1.346996231,,,,10,8.313151699
6862 HK/ 海底撈,7.56,40.0%,60.0%,4.40,7.13,42.4969,42.596,,-1.224013024,1.516273295,-0.3167557679,-1.837234737,-1.161879516,,,,8.75155,5.50921273
